Date,Price
01/07/1992,62255
01/10/1992,63712
01/01/1993,59230
01/04/1993,60213
01/07/1993,61895
01/10/1993,63742
01/01/1994,62596
01/04/1994,62024
01/07/1994,64835
01/10/1994,66159
01/01/1995,65583
01/04/1995,62329
01/07/1995,65193
01/10/1995,68054
01/01/1996,66704
01/04/1996,65770
01/07/1996,68890
01/10/1996,73029
01/01/1997,72518
01/04/1997,72759
01/07/1997,75837
01/10/1997,78178
01/01/1998,76253
01/04/1998,77519
01/07/1998,80964
01/10/1998,85257
01/01/1999,83031
01/04/1999,84110
01/07/1999,89879
01/10/1999,96843
01/01/2000,96588
01/04/2000,97184
01/07/2000,101785
01/10/2000,102384
01/01/2001,104087
01/04/2001,106928
01/07/2001,112325
01/10/2001,117455
01/01/2002,112675
01/04/2002,113496
01/07/2002,125750
01/10/2002,135589
01/01/2003,134269
01/04/2003,133711
01/07/2003,141819
01/10/2003,162121
01/01/2004,166208
01/04/2004,168928
01/07/2004,177128
01/10/2004,189139
01/01/2005,185797
01/04/2005,185194
01/07/2005,189852
01/10/2005,199051
01/01/2006,188944
01/04/2006,193421
01/07/2006,199482
01/10/2006,214028
01/01/2007,212322
01/04/2007,217364
01/07/2007,218724
01/10/2007,232033
01/01/2008,225500
01/04/2008,227125
01/07/2008,228354
01/10/2008,233499
01/01/2009,222083
01/04/2009,216977
01/07/2009,215731
01/10/2009,236416
01/01/2010,235134
01/04/2010,253391
01/07/2010,249182
01/10/2010,258084
01/01/2011,244040
01/04/2011,244164
01/07/2011,240281
01/10/2011,254435
01/01/2012,242397
01/04/2012,239364
01/07/2012,244143
01/10/2012,253874
01/01/2013,246748
01/04/2013,243412
01/07/2013,244525
01/10/2013,260249
01/01/2014,254884
01/04/2014,260383
01/07/2014,264373
01/10/2014,277741
01/01/2015,266029
01/04/2015,269956
01/07/2015,266840
01/10/2015,288262
01/01/2016,281164
01/04/2016,293242
01/07/2016,268019
01/10/2016,286023
01/01/2017,282758
01/04/2017,275127
01/07/2017,279222
01/10/2017,288217
01/01/2018,278651
01/04/2018,281354
01/07/2018,279253
01/10/2018,289515
01/01/2019,280728
01/04/2019,275746
01/07/2019,275901
01/10/2019,288317
01/01/2020,288731
01/04/2020,290790
01/07/2020,281149
01/10/2020,315639
01/01/2021,325535
01/04/2021,345338
01/07/2021,342759
01/10/2021,295338
01/01/2022,310944
01/04/2022,329968
01/07/2022,335472